
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
#G4 3.007736606 3.001216724 0.006007753454 1.5406 -4.345223454 4.385668066 -35 81.13531704 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00774 3.00122 0.00600775
#P0 120.7995 25.43275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 21.009K  50.7352K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.83275 2.97652 3.03217 -0.0179455  22.0022 0 266796 2 0 2
24.86275 2.97809 3.03063 -0.0167479  22.0021 50.9168 266799 2 0 7
24.89275 2.97966 3.02909 -0.0155502  22.002 50.9162 266802 2 0 8
24.92275 2.98122 3.02755 -0.0143526  22.002 50.9178 266805 2 0 5
24.95275 2.98279 3.02601 -0.0131549  22.0017 50.92 266808 2 0 13
24.98275 2.98436 3.02447 -0.0119573  22.0016 50.922 266811 2 0 9
25.01275 2.98592 3.02292 -0.0107596  22.0017 50.9225 266814 2 0 24
25.04275 2.98748 3.02138 -0.00956197  22.0013 50.9238 266817 2 0 20
25.07275 2.98905 3.01983 -0.0083643  22.0013 50.9275 266820 2 0 22
25.10275 2.99061 3.01828 -0.00716664  0 50.9275 266823 2 0 70
25.13275 2.99217 3.01674 -0.00596897  0 50.9295 266826 2 0 95
25.16275 2.99373 3.01519 -0.0047713  0 50.9293 266829 2 0 165
25.19275 2.99529 3.01364 -0.00357363  0 50.9294 266832 2 0 242
25.22275 2.99685 3.01209 -0.00237595  22.0011 50.9295 266835 2 0 359
25.25275 2.99841 3.01054 -0.00117828  0 50.9331 266838 2 0 466
25.28275 2.99996 3.00899 1.93928e-05  0 50.9334 266841 2 0 649
25.31275 3.00152 3.00743 0.00121707  0 50.9345 266844 2 0 710
25.34275 3.00308 3.00588 0.00241474  0 50.9345 266847 2 0 971
25.37275 3.00463 3.00433 0.00361241  0 50.9342 266850 2 0 1124
25.40275 3.00618 3.00277 0.00481008  0 50.9368 266853 2 0 1355
25.43275 3.00774 3.00122 0.00600775  0 50.9362 266856 2 0 1351
25.46275 3.00929 2.99966 0.00720542  0 50.9374 266859 2 0 1284
25.49275 3.01084 2.9981 0.00840309  0 50.9342 266862 2 0 1218
25.52275 3.01239 2.99654 0.00960075  0 50.9366 266865 2 0 1040
25.55275 3.01394 2.99499 0.0107984  0 50.9393 266868 2 0 746
25.58275 3.01549 2.99343 0.0119961  0 50.9386 266871 2 0 566
25.61275 3.01704 2.99187 0.0131937  0 50.9385 266874 2 0 351
25.64275 3.01858 2.9903 0.0143914  0 50.9379 266877 2 0 203
25.67275 3.02013 2.98874 0.015589  0 50.9387 266880 2 0 123
25.70275 3.02168 2.98718 0.0167867  0 50.9385 266883 2 0 80
25.73275 3.02322 2.98561 0.0179843  0 50.9384 266886 2 0 59
25.76275 3.02476 2.98405 0.0191819  0 50.9384 266889 2 0 40
25.79275 3.02631 2.98248 0.0203796  0 50.939 266892 2 0 33
25.82275 3.02785 2.98092 0.0215772  0 50.9394 266895 2 0 28
25.85275 3.02939 2.97935 0.0227748  0 50.9384 266898 2 0 20
25.88275 3.03093 2.97778 0.0239724  0 50.9365 266901 2 0 20
25.91275 3.03247 2.97621 0.02517  0 50.9379 266904 2 0 14
25.94275 3.03401 2.97464 0.0263676  0 50.9367 266907 2 0 9
25.97275 3.03555 2.97307 0.0275652  0 50.937 266910 2 0 7
26.00275 3.03709 2.9715 0.0287628  0 50.9383 266913 2 0 6
26.03275 3.03862 2.96993 0.0299604  22.0001 50.9377 266916 2 0 12

#S 60  a2scan  tth 119.299 122.299  th 24.6805 26.1805  60 2
#D Fri May 10 16:50:02 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007620162 3.001333432 0.005917928246 1.5406 -4.345526248 4.38536615 -35 81.13531614 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00762 3.00133 0.00591793
#P0 120.7995 25.4305 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 22.0001K  50.9377K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6805 2.985 2.97876 0.00587342  21.9999 50.9327 266933 2 0 2
119.3495 24.7055 2.98576 2.97952 0.00587492  21.9999 50.9319 266938 2 0 4
119.3995 24.7305 2.98652 2.98028 0.00587641  0 50.9303 266943 2 0 4
119.4495 24.7555 2.98728 2.98104 0.00587791  21.9998 0 266948 2 0 10
119.4995 24.7805 2.98804 2.9818 0.00587941  22 50.9268 266953 2 0 12
119.5495 24.8055 2.9888 2.98256 0.0058809  21.9998 50.9258 266958 2 0 8
119.5995 24.8305 2.98956 2.98331 0.0058824  22.0001 50.9245 266963 2 0 8
119.6495 24.8555 2.99032 2.98407 0.00588389  21.9997 50.9211 266968 2 0 14
119.6995 24.8805 2.99108 2.98483 0.00588538  0 50.9201 266974 2 0 17
119.7495 24.9055 2.99184 2.98558 0.00588688  21.9998 50.9194 266979 2 0 28
119.7995 24.9305 2.9926 2.98634 0.00588837  21.9999 50.9163 266984 2 0 23
119.8495 24.9555 2.99335 2.9871 0.00588985  21.9997 50.914 266989 2 0 36
119.8995 24.9805 2.99411 2.98785 0.00589134  22 50.9117 266994 2 0 44
119.9495 25.0055 2.99486 2.9886 0.00589283  21.9999 50.9115 266999 2 0 45
119.9995 25.0305 2.99562 2.98936 0.00589431  21.9999 50.9084 267004 2 0 68
120.0495 25.0555 2.99637 2.99011 0.0058958  21.9997 50.9065 267009 2 0 95
120.0995 25.0805 2.99713 2.99086 0.00589728  22 50.9033 267014 2 0 94
120.1495 25.1055 2.99788 2.99161 0.00589876  22 50.8996 267019 2 0 137
120.1995 25.1305 2.99863 2.99236 0.00590024  0 50.8969 267025 2 0 171
120.2495 25.1555 2.99938 2.99312 0.00590172  21.9998 50.8935 267030 2 0 186
120.2995 25.1805 3.00014 2.99387 0.0059032  21.9999 50.8918 267035 2 0 242
120.3495 25.2055 3.00089 2.99461 0.00590468  21.9999 50.8908 267040 2 0 317
120.3995 25.2305 3.00164 2.99536 0.00590616  21.9996 50.8857 267045 2 0 399
120.4495 25.2555 3.00239 2.99611 0.00590763  22 0 267050 2 0 443
120.4995 25.2805 3.00314 2.99686 0.00590911  21.9998 50.8798 267055 2 0 609
120.5495 25.3055 3.00389 2.99761 0.00591058  22 50.8776 267060 2 0 753
120.5995 25.3305 3.00463 2.99835 0.00591205  21.9997 50.8737 267065 2 0 875
120.6495 25.3555 3.00538 2.9991 0.00591352  0 50.8701 267070 2 0 1048
120.6995 25.3805 3.00613 2.99984 0.00591499  21.9998 50.8699 267076 2 0 1189
120.7495 25.4055 3.00687 3.00059 0.00591646  22 50.8655 267081 2 0 1314
120.7995 25.4305 3.00762 3.00133 0.00591793  21.9999 50.8609 267086 2 0 1321
120.8495 25.4555 3.00837 3.00208 0.00591939  21.9998 50.859 267091 2 0 1279
120.8995 25.4805 3.00911 3.00282 0.00592086  0 50.8553 267096 2 0 1290
120.9495 25.5055 3.00985 3.00356 0.00592232  21.9997 50.8534 267101 2 0 1187
120.9995 25.5305 3.0106 3.0043 0.00592379  21.9999 50.8502 267106 2 0 1049
121.0495 25.5555 3.01134 3.00505 0.00592525  21.9997 50.8458 267111 2 0 974
121.0995 25.5805 3.01208 3.00579 0.00592671  21.9998 50.8438 267116 2 0 899
121.1495 25.6055 3.01282 3.00653 0.00592817  21.9997 50.8404 267122 2 0 808
121.1995 25.6305 3.01357 3.00727 0.00592963  21.9999 50.8367 267127 2 0 711
121.2495 25.6555 3.01431 3.00801 0.00593108  21.9997 50.8331 267132 2 0 624
121.2995 25.6805 3.01505 3.00874 0.00593254  0 50.8311 267137 2 0 533
121.3495 25.7055 3.01579 3.00948 0.005934  21.9998 50.8269 267142 2 0 414
121.3995 25.7305 3.01653 3.01022 0.00593545  21.9996 50.8242 267147 2 0 332
121.4495 25.7555 3.01726 3.01096 0.0059369  21.9999 50.819 267152 2 0 293
121.4995 25.7805 3.018 3.01169 0.00593835  0 50.8167 267157 2 0 206
121.5495 25.8055 3.01874 3.01243 0.0059398  21.9999 50.814 267162 2 0 174
121.5995 25.8305 3.01947 3.01316 0.00594125  22 50.8124 267167 2 0 149
121.6495 25.8555 3.02021 3.0139 0.0059427  21.9998 50.8059 267172 2 0 95
121.6995 25.8805 3.02095 3.01463 0.00594415  0 50.8042 267178 2 0 90
121.7495 25.9055 3.02168 3.01537 0.0059456  21.9997 50.8012 267183 2 0 72
121.7995 25.9305 3.02242 3.0161 0.00594704  21.9998 50.7978 267188 2 0 50
121.8495 25.9555 3.02315 3.01683 0.00594848  21.9999 50.7922 267193 2 0 38
121.8995 25.9805 3.02388 3.01756 0.00594993  0 50.7916 267198 2 0 31
121.9495 26.0055 3.02462 3.01829 0.00595137  21.9998 0 267203 2 0 20
121.9995 26.0305 3.02535 3.01902 0.00595281  21.9998 50.7847 267208 2 0 15
122.0495 26.0555 3.02608 3.01975 0.00595425  21.9997 50.7809 267213 2 0 10
122.0995 26.0805 3.02681 3.02048 0.00595569  22 50.7778 267218 2 0 5
122.1495 26.1055 3.02754 3.02121 0.00595712  21.9999 50.7741 267223 2 0 7
122.1995 26.1305 3.02827 3.02194 0.00595856  22 50.7702 267228 2 0 6
122.2495 26.1555 3.029 3.02267 0.00595999  21.9998 50.7673 267234 2 0 3
122.2995 26.1805 3.02973 3.02339 0.00596143  0 50.7609 267239 2 0 2
#C Fri May 10 16:55:29 2019.  Temperature Setpoint at 23.
#C Fri May 10 16:55:30 2019.  Temperature Setpoint at 23.

#S 61  ascan  th 24.8305 26.0305  40 2
#D Fri May 10 16:57:31 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007620162 3.001333432 0.005917928246 1.5406 -4.345526248 4.38536615 -35 81.13531614 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00762 3.00133 0.00591793
#P0 120.7995 25.4305 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 22.0111K  50.7539K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.8305 2.9764 3.03229 -0.0180353  23.0023 50.9597 267377 2 0 5
24.8605 2.97797 3.03075 -0.0168377  23.0023 50.9625 267380 2 0 10
24.8905 2.97954 3.02921 -0.0156401  23.0021 50.9652 267383 2 0 6
24.9205 2.98111 3.02767 -0.0144424  23.0021 50.9682 267386 2 0 6
24.9505 2.98267 3.02612 -0.0132448  23.0018 50.9696 267389 2 0 12
24.9805 2.98424 3.02458 -0.0120471  23.0016 50.9703 267392 2 0 8
25.0105 2.9858 3.02304 -0.0108495  23.0015 50.9745 267395 2 0 16
25.0405 2.98737 3.02149 -0.00965179  0 50.9753 267398 2 0 24
25.0705 2.98893 3.01995 -0.00845413  0 50.9764 267401 2 0 25
25.1005 2.99049 3.0184 -0.00725646  0 50.9793 267404 2 0 52
25.1305 2.99205 3.01685 -0.00605879  0 50.9794 267407 2 0 90
25.1605 2.99361 3.0153 -0.00486112  0 50.9807 267410 2 0 152
25.1905 2.99517 3.01376 -0.00366345  23.001 50.9837 267413 2 0 233
25.2205 2.99673 3.01221 -0.00246578  0 50.9845 267416 2 0 329
25.2505 2.99829 3.01066 -0.00126811  0 50.9854 267419 2 0 486
25.2805 2.99985 3.0091 -7.04327e-05  0 50.9871 267422 2 0 594
25.3105 3.0014 3.00755 0.00112724  0 50.9881 267425 2 0 734
25.3405 3.00296 3.006 0.00232491  0 50.9898 267428 2 0 896
25.3705 3.00451 3.00444 0.00352259  0 50.9887 267431 2 0 1184
25.4005 3.00607 3.00289 0.00472026  0 50.9903 267434 2 0 1290
25.4305 3.00762 3.00133 0.00591793  0 50.995 267437 2 0 1319
25.4605 3.00917 2.99978 0.0071156  0 50.9934 267440 2 0 1260
25.4905 3.01072 2.99822 0.00831326  0 50.9934 267443 2 0 1185
25.5205 3.01227 2.99666 0.00951093  0 50.9936 267446 2 0 1031
25.5505 3.01382 2.9951 0.0107086  0 50.995 267449 2 0 801
25.5805 3.01537 2.99354 0.0119062  0 50.995 267452 2 0 567
25.6105 3.01692 2.99198 0.0131039  23.0004 50.9947 267455 2 0 341
25.6405 3.01847 2.99042 0.0143016  0 50.9957 267458 2 0 230
25.6705 3.02001 2.98886 0.0154992  0 50.9944 267461 2 0 146
25.7005 3.02156 2.9873 0.0166968  0 50.9958 267464 2 0 100
25.7305 3.02311 2.98573 0.0178945  0 50.9968 267467 2 0 55
25.7605 3.02465 2.98417 0.0190921  0 50.9967 267470 2 0 42
25.7905 3.02619 2.9826 0.0202898  0 50.9974 267473 2 0 31
25.8205 3.02773 2.98104 0.0214874  0 50.9962 267476 2 0 25
25.8505 3.02928 2.97947 0.022685  0 50.9958 267479 2 0 11
25.8805 3.03082 2.9779 0.0238826  0 50.9962 267482 2 0 14
25.9105 3.03236 2.97633 0.0250802  0 50.9972 267485 2 0 10
25.9405 3.0339 2.97476 0.0262778  23.0003 50.9969 267488 2 0 14
25.9705 3.03543 2.97319 0.0274754  0 50.9965 267491 2 0 2
26.0005 3.03697 2.97162 0.028673  0 50.9966 267494 2 0 9
26.0305 3.03851 2.97005 0.0298706  0 50.996 267497 2 0 5

#S 62  a2scan  tth 119.299 122.299  th 24.6815 26.1815  60 2
#D Fri May 10 16:59:42 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007671915 3.001281562 0.005957850562 1.5406 -4.345391673 4.385500336 -35 81.13531654 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00767 3.00128 0.00595785
#P0 120.7995 25.4315 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  50.996K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6815 2.98505 2.97871 0.00591304  23.0001 0 267512 2 0 6
119.3495 24.7065 2.98581 2.97947 0.00591455  23 50.9945 267517 2 0 10
119.3995 24.7315 2.98657 2.98023 0.00591606  22.9999 50.9932 267522 2 0 5
119.4495 24.7565 2.98733 2.98099 0.00591756  23.0001 50.9913 267528 2 0 5
119.4995 24.7815 2.9881 2.98175 0.00591907  0 50.9906 267533 2 0 5
119.5495 24.8065 2.98886 2.9825 0.00592058  22.9999 0 267538 2 0 9
119.5995 24.8315 2.98961 2.98326 0.00592208  22.9999 50.9879 267543 2 0 8
119.6495 24.8565 2.99037 2.98402 0.00592358  23 50.9875 267548 2 0 15
119.6995 24.8815 2.99113 2.98478 0.00592509  23 50.9849 267553 2 0 18
119.7495 24.9065 2.99189 2.98553 0.00592659  22.9999 50.9839 267558 2 0 26
119.7995 24.9315 2.99265 2.98629 0.00592809  0 50.9821 267561 2 0 37
119.8495 24.9565 2.9934 2.98704 0.00592959  22.9999 50.9812 267567 2 0 33
119.8995 24.9815 2.99416 2.9878 0.00593108  23.0001 50.9796 267572 2 0 44
119.9495 25.0065 2.99492 2.98855 0.00593258  23 50.9797 267577 2 0 58
119.9995 25.0315 2.99567 2.98931 0.00593408  23.0001 50.9769 267582 2 0 79
120.0495 25.0565 2.99642 2.99006 0.00593557  22.9999 50.9748 267587 2 0 109
120.0995 25.0815 2.99718 2.99081 0.00593706  22.9999 50.9717 267592 2 0 125
120.1495 25.1065 2.99793 2.99156 0.00593856  23.0001 50.9705 267597 2 0 124
120.1995 25.1315 2.99868 2.99231 0.00594005  0 50.9702 267602 2 0 190
120.2495 25.1565 2.99944 2.99306 0.00594154  23 50.9655 267607 2 0 175
120.2995 25.1815 3.00019 2.99381 0.00594303  22.9999 0 267612 2 0 230
120.3495 25.2065 3.00094 2.99456 0.00594451  22.9999 50.9632 267618 2 0 322
120.3995 25.2315 3.00169 2.99531 0.005946  22.9999 50.9602 267623 2 0 403
120.4495 25.2565 3.00244 2.99606 0.00594749  22.9998 50.9572 267628 2 0 498
120.4995 25.2815 3.00319 2.99681 0.00594897  22.9999 50.9557 267633 2 0 617
120.5495 25.3065 3.00394 2.99755 0.00595045  22.9999 50.9523 267638 2 0 714
120.5995 25.3315 3.00469 2.9983 0.00595193  22.9999 50.9498 267643 2 0 856
120.6495 25.3565 3.00543 2.99905 0.00595342  22.9998 50.9476 267648 2 0 1061
120.6995 25.3815 3.00618 2.99979 0.00595489  22.9999 50.9475 267653 2 0 1172
120.7495 25.4065 3.00693 3.00054 0.00595637  23.0001 50.9432 267659 2 0 1310
120.7995 25.4315 3.00767 3.00128 0.00595785  22.9998 50.9422 267664 2 0 1325
120.8495 25.4565 3.00842 3.00203 0.00595933  23 50.9386 267669 2 0 1300
120.8995 25.4815 3.00916 3.00277 0.0059608  22.9999 50.9356 267674 2 0 1256
120.9495 25.5065 3.00991 3.00351 0.00596228  22.9999 50.9319 267679 2 0 1218
120.9995 25.5315 3.01065 3.00425 0.00596375  0 50.9318 267684 2 0 1089
121.0495 25.5565 3.01139 3.00499 0.00596522  22.9997 50.9291 267689 2 0 976
121.0995 25.5815 3.01213 3.00573 0.00596669  22.9996 50.9255 267694 2 0 923
121.1495 25.6065 3.01288 3.00648 0.00596816  23 50.925 267700 2 0 801
121.1995 25.6315 3.01362 3.00721 0.00596963  0 50.9199 267705 2 0 675
121.2495 25.6565 3.01436 3.00795 0.0059711  23.0001 50.9174 267710 2 0 627
121.2995 25.6815 3.0151 3.00869 0.00597256  22.9999 50.915 267715 2 0 518
121.3495 25.7065 3.01584 3.00943 0.00597403  23 50.9137 267720 2 0 420
121.3995 25.7315 3.01658 3.01017 0.00597549  0 50.9103 267725 2 0 347
121.4495 25.7565 3.01732 3.0109 0.00597695  23.0001 50.9069 267730 2 0 301
121.4995 25.7815 3.01805 3.01164 0.00597841  23.0001 50.9017 267736 2 0 224
121.5495 25.8065 3.01879 3.01238 0.00597987  22.9998 50.9008 267741 2 0 185
121.5995 25.8315 3.01953 3.01311 0.00598133  0 50.899 267746 2 0 143
121.6495 25.8565 3.02026 3.01385 0.00598279  22.9998 50.895 267751 2 0 110
121.6995 25.8815 3.021 3.01458 0.00598425  22.9998 50.8919 267756 2 0 93
121.7495 25.9065 3.02173 3.01531 0.0059857  22.9998 50.8879 267761 2 0 62
121.7995 25.9315 3.02247 3.01605 0.00598716  0 50.8864 267766 2 0 47
121.8495 25.9565 3.0232 3.01678 0.00598861  23.0002 50.8842 267771 2 0 49
121.8995 25.9815 3.02393 3.01751 0.00599007  22.9998 50.8794 267776 2 0 22
121.9495 26.0065 3.02467 3.01824 0.00599152  22.9997 50.8757 267781 2 0 26
121.9995 26.0315 3.0254 3.01897 0.00599297  22.9997 50.8733 267787 2 0 18
122.0495 26.0565 3.02613 3.0197 0.00599442  22.9999 50.8716 267792 2 0 10
122.0995 26.0815 3.02686 3.02043 0.00599586  23 50.867 267797 2 0 12
122.1495 26.1065 3.02759 3.02116 0.00599731  23 50.8647 267802 2 0 9
122.1995 26.1315 3.02832 3.02189 0.00599876  22.9998 50.8601 267807 2 0 6
122.2495 26.1565 3.02905 3.02261 0.0060002  23 0 267812 2 0 4
122.2995 26.1815 3.02978 3.02334 0.00600164  22.9998 50.8534 267817 2 0 4
#C Fri May 10 17:05:07 2019.  Temperature Setpoint at 24.
#C Fri May 10 17:05:09 2019.  Temperature Setpoint at 24.

#S 63  ascan  th 24.8315 26.0315  40 2
#D Fri May 10 17:07:09 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007671915 3.001281562 0.005957850562 1.5406 -4.345391673 4.385500336 -35 81.13531654 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00767 3.00128 0.00595785
#P0 120.7995 25.4315 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 23.0099K  50.8477K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.8315 2.97646 3.03224 -0.0179954  24.0027 51.0791 267956 2 0 5
24.8615 2.97802 3.0307 -0.0167978  0 51.0806 267959 2 0 7
24.8915 2.97959 3.02916 -0.0156001  24.0021 51.085 267962 2 0 11
24.9215 2.98116 3.02762 -0.0144025  24.002 51.0879 267965 2 0 7
24.9515 2.98273 3.02607 -0.0132048  24.0019 51.0892 267968 2 0 7
24.9815 2.98429 3.02453 -0.0120072  24.002 51.0931 267971 2 0 14
25.0115 2.98585 3.02299 -0.0108095  0 51.094 267974 2 0 17
25.0415 2.98742 3.02144 -0.00961187  0 51.098 267977 2 0 28
25.0715 2.98898 3.0199 -0.00841421  0 51.0997 267980 2 0 33
25.1015 2.99054 3.01835 -0.00721654  0 51.1019 267983 2 0 51
25.1315 2.9921 3.0168 -0.00601887  0 51.1039 267986 2 0 88
25.1615 2.99367 3.01525 -0.0048212  0 51.1056 267989 2 0 149
25.1915 2.99522 3.0137 -0.00362353  0 51.1059 267992 2 0 237
25.2215 2.99678 3.01215 -0.00242586  0 51.1096 267995 2 0 310
25.2515 2.99834 3.0106 -0.00122818  0 51.1092 267998 2 0 469
25.2815 2.9999 3.00905 -3.05103e-05  0 51.1135 268001 2 0 632
25.3115 3.00145 3.0075 0.00116716  0 51.1127 268004 2 0 751
25.3415 3.00301 3.00595 0.00236484  0 51.1152 268007 2 0 952
25.3715 3.00457 3.00439 0.00356251  0 51.1157 268010 2 0 1085
25.4015 3.00612 3.00284 0.00476018  0 51.1187 268013 2 0 1285
25.4315 3.00767 3.00128 0.00595785  0 51.118 268016 2 0 1263
25.4615 3.00922 2.99973 0.00715552  0 51.1206 268019 2 0 1278
25.4915 3.01078 2.99817 0.00835319  0 51.1217 268022 2 0 1169
25.5215 3.01233 2.99661 0.00955085  0 51.1209 268025 2 0 1016
25.5515 3.01388 2.99505 0.0107485  0 51.1241 268028 2 0 771
25.5815 3.01542 2.99349 0.0119462  0 51.124 268031 2 0 618
25.6115 3.01697 2.99193 0.0131438  0 51.1251 268034 2 0 348
25.6415 3.01852 2.99037 0.0143415  0 51.1251 268037 2 0 239
25.6715 3.02007 2.98881 0.0155391  0 51.1245 268040 2 0 160
25.7015 3.02161 2.98724 0.0167368  0 51.1269 268043 2 0 104
25.7315 3.02316 2.98568 0.0179344  0 51.1283 268046 2 0 76
25.7615 3.0247 2.98411 0.019132  0 51.1279 268049 2 0 33
25.7915 3.02624 2.98255 0.0203297  0 51.1294 268052 2 0 22
25.8215 3.02779 2.98098 0.0215273  0 51.1291 268055 2 0 19
25.8515 3.02933 2.97942 0.0227249  0 51.1291 268058 2 0 26
25.8815 3.03087 2.97785 0.0239225  0 51.1292 268061 2 0 21
25.9115 3.03241 2.97628 0.0251201  0 51.1298 268064 2 0 14
25.9415 3.03395 2.97471 0.0263177  0 51.1309 268067 2 0 14
25.9715 3.03548 2.97314 0.0275153  0 51.1302 268070 2 0 9
26.0015 3.03702 2.97157 0.0287129  0 51.1312 268073 2 0 5
26.0315 3.03856 2.97 0.0299105  0 51.1305 268076 2 0 10

#S 64  a2scan  tth 119.299 122.299  th 24.6805 26.1805  60 2
#D Fri May 10 17:09:21 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007620162 3.001333432 0.005917928246 1.5406 -4.345526248 4.38536615 -35 81.13531614 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00762 3.00133 0.00591793
#P0 120.7995 25.4305 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  51.1305K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6805 2.985 2.97876 0.00587342  24.0002 51.1324 268092 2 0 3
119.3495 24.7055 2.98576 2.97952 0.00587492  24.0002 51.1319 268097 2 0 9
119.3995 24.7305 2.98652 2.98028 0.00587641  24.0001 51.1311 268102 2 0 5
119.4495 24.7555 2.98728 2.98104 0.00587791  0 51.1308 268107 2 0 8
119.4995 24.7805 2.98804 2.9818 0.00587941  24.0002 51.1316 268112 2 0 11
119.5495 24.8055 2.9888 2.98256 0.0058809  24.0001 51.1303 268118 2 0 10
