
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.5495 24.80775 2.98892 2.98244 0.00597017  20.9997 0 266377 2 0 10
119.5995 24.83275 2.98968 2.9832 0.00597168  20.9997 50.9309 266382 2 0 15
119.6495 24.85775 2.99044 2.98396 0.0059732  20.9998 50.9293 266387 2 0 14
119.6995 24.88275 2.9912 2.98471 0.00597472  20.9996 50.9255 266392 2 0 15
119.7495 24.90775 2.99195 2.98547 0.00597623  20.9999 50.9227 266397 2 0 21
119.7995 24.93275 2.99271 2.98622 0.00597774  0 50.9217 266402 2 0 29
119.8495 24.95775 2.99347 2.98698 0.00597925  20.9997 50.9199 266407 2 0 42
119.8995 24.98275 2.99422 2.98773 0.00598076  20.9999 50.9177 266412 2 0 49
119.9495 25.00775 2.99498 2.98849 0.00598227  20.9999 50.9136 266417 2 0 67
119.9995 25.03275 2.99573 2.98924 0.00598378  20.9998 50.9125 266422 2 0 64
120.0495 25.05775 2.99649 2.98999 0.00598529  20.9997 50.9083 266428 2 0 91
120.0995 25.08275 2.99724 2.99075 0.00598679  20.9999 50.9059 266433 2 0 92
120.1495 25.10775 2.998 2.9915 0.0059883  20.9996 50.9027 266438 2 0 131
120.1995 25.13275 2.99875 2.99225 0.0059898  21 50.9027 266443 2 0 145
120.2495 25.15775 2.9995 2.993 0.0059913  20.9998 50.8972 266448 2 0 203
120.2995 25.18275 3.00025 2.99375 0.0059928  20.9997 0 266453 2 0 245
120.3495 25.20775 3.001 2.9945 0.0059943  20.9997 50.8912 266458 2 0 343
120.3995 25.23275 3.00175 2.99525 0.0059958  20.9996 50.888 266463 2 0 433
120.4495 25.25775 3.0025 2.996 0.0059973  20.9997 50.8828 266468 2 0 489
120.4995 25.28275 3.00325 2.99674 0.0059988  0 50.8801 266473 2 0 663
120.5495 25.30775 3.004 2.99749 0.00600029  20.9997 50.8763 266479 2 0 745
120.5995 25.33275 3.00475 2.99824 0.00600179  20.9997 50.8728 266484 2 0 913
120.6495 25.35775 3.0055 2.99898 0.00600328  20.9999 50.869 266489 2 0 1046
120.6995 25.38275 3.00624 2.99973 0.00600477  0 50.8651 266494 2 0 1150
120.7495 25.40775 3.00699 3.00047 0.00600626  20.9996 50.8645 266499 2 0 1253
120.7995 25.43275 3.00774 3.00122 0.00600775  20.9996 50.8578 266504 2 0 1378
120.8495 25.45775 3.00848 3.00196 0.00600924  20.9998 50.855 266509 2 0 1331
120.8995 25.48275 3.00923 3.0027 0.00601073  20.9999 50.8514 266515 2 0 1229
120.9495 25.50775 3.00997 3.00345 0.00601222  21 50.8508 266520 2 0 1195
120.9995 25.53275 3.01071 3.00419 0.0060137  21 50.844 266525 2 0 1083
121.0495 25.55775 3.01146 3.00493 0.00601518  20.9997 50.8419 266530 2 0 1027
121.0995 25.58275 3.0122 3.00567 0.00601667  20.9998 50.835 266535 2 0 824
121.1495 25.60775 3.01294 3.00641 0.00601815  0 50.8338 266540 2 0 806
121.1995 25.63275 3.01368 3.00715 0.00601963  20.9997 50.8279 266545 2 0 697
121.2495 25.65775 3.01442 3.00789 0.00602111  20.9997 50.8248 266550 2 0 565
121.2995 25.68275 3.01516 3.00863 0.00602259  20.9999 50.8211 266555 2 0 517
121.3495 25.70775 3.0159 3.00937 0.00602407  0 50.8176 266561 2 0 440
121.3995 25.73275 3.01664 3.0101 0.00602554  20.9998 50.8125 266566 2 0 366
121.4495 25.75775 3.01738 3.01084 0.00602702  20.9996 50.8092 266571 2 0 277
121.4995 25.78275 3.01812 3.01158 0.00602849  20.9998 50.806 266576 2 0 212
121.5495 25.80775 3.01886 3.01231 0.00602996  0 50.8035 266581 2 0 194
121.5995 25.83275 3.01959 3.01305 0.00603143  20.9996 50.7978 266586 2 0 132
121.6495 25.85775 3.02033 3.01378 0.0060329  20.9996 50.7947 266591 2 0 114
121.6995 25.88275 3.02106 3.01451 0.00603437  20.9996 50.7909 266596 2 0 84
121.7495 25.90775 3.0218 3.01525 0.00603584  0 50.7888 266602 2 0 54
