#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
#G1 3.777567879 3.777567879 13.11033219 90 90 90 1.663288525 1.663288525 0.4792544701 90 90 90 2 0 0 3 3 0 48.137 16.5365 -6.46675 70.93525 0 0 120.335 25.1675 -7.32275 70.86125 0 0 1.5406 1.5406
#G3 0.7412412656 1.48557409 -0.02904287581 1.477362629 -0.747809486 -0.0452928124 -0.1857142127 -0.01947599521 -0.4762246525
#G4 2.946602413 1.147840723 0.01477385436 1.5406 -0.9977920513 1.097278811 -25.95986006 88.62940365 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 2.9466 1.14784 0.0147739
#P0 80.3065 14.1935 -7.0035 68.0685 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 290.043K  294.037K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
13.1935 2.92613 1.19908 0.0101902  289.705 294.043 6367 1 0 8
13.26025 2.92752 1.19567 0.0104962  289.703 294.043 6369 1 0 14
13.32675 2.92891 1.19227 0.0108011  289.71 294.043 6372 1 0 18
13.3935 2.93029 1.18886 0.0111072  289.706 294.043 6375 1 0 21
13.46025 2.93168 1.18544 0.0114132  289.705 294.043 6377 1 0 32
13.52675 2.93305 1.18204 0.0117181  289.711 294.043 6380 1 0 60
13.5935 2.93443 1.17863 0.0120241  289.706 294.043 6383 1 0 111
13.66025 2.9358 1.17521 0.0123301  289.706 294.043 6386 1 0 194
13.72675 2.93716 1.1718 0.0126349  289.712 294.043 6389 1 0 292
13.86025 2.93988 1.16495 0.0132468  289.705 294.043 6394 1 0 274
13.86025 2.93988 1.16495 0.0132468  289.706 294.043 6396 1 0 289
13.86025 2.93988 1.16495 0.0132468  289.706 294.043 6400 1 0 322
13.86025 2.93988 1.16495 0.0132468  289.706 294.043 6403 1 0 294
14.06025 2.94393 1.15469 0.0141633  289.707 294.043 6407 1 0 65
14.12675 2.94526 1.15127 0.014468  289.712 294.043 6410 1 0 39
14.1935 2.9466 1.14784 0.0147739  289.708 294.043 6412 1 0 19
14.26025 2.94794 1.14441 0.0150797  289.707 294.043 6415 1 0 18
14.32675 2.94926 1.14099 0.0153843  289.711 294.043 6417 1 0 10
14.3935 2.95059 1.13755 0.0156901  289.708 294.043 6420 1 0 11
14.46025 2.95191 1.13411 0.0159959  289.706 294.043 6422 1 0 7
14.52675 2.95323 1.13069 0.0163004  289.712 294.043 6424 1 0 3
14.5935 2.95454 1.12725 0.0166061  289.708 294.043 6427 1 0 3
14.66025 2.95585 1.12381 0.0169118  289.707 294.043 6430 1 0 6
14.72675 2.95715 1.12037 0.0172164  289.712 294.043 6434 1 0 1
#C Mon Dec 11 14:22:47 2017.  Scan aborted after 24 points.

